author_id|name|short_bio|picture
10000000|Giorgia Lupi|"She is the co-founder and Design Director of Accurat, a data-driven design firm with offices in Milan and New York.
After receiving her master’s degree in Architecture, she earned her PhD in Design at Politecnico di Milano.
Her work is part of the permanent co/llection of the Museum of Modern Art, where in 2017 she also was commissioned to create an original site-specific piece. Her TED TALK on her humanistic approach to data has over one million views.
She is co-author of Dear Data and of the new interactive book Observe, Collect, Draw - A Visual Journal."|giorgia_lupi.jpeg
10000001|Bonnie Siegler|Bonnie Siegler (born 1963) is a New York-based graphic designer. She is the founder of the design studio Eight and a Half and, before that, co-founded the design studio Number Seventeen in 1993. Her clients include Participant Media, Late Night with Seth Meyers, Saturday Night Live, HBO, Brooklyn Public Library, Maveron, Random House, The Criterion Collection, The New York Times, Nickelodeon, and the Frank Lloyd Wright Foundation.|bonnie_siegler.jpeg
10000002|Don Norman|Donald Arthur Norman (born December 25, 1935) is a researcher, professor, and author. Norman is the director of The Design Lab at University of California, San Diego. He is best known for his books on design, especially The Design of Everyday Things. He is widely regarded for his expertise in the fields of design, usability engineering, and cognitive science. He is a co-founder and consultant with the Nielsen Norman Group. |don_norman.jpeg
10000003|Bruno Munari|Bruno Munari was an Italian artist, designer, and inventor who contributed fundamentals to many fields of visual arts(painting, sculpture, film, industrial design, graphic design) in modernism, futurism, and concrete art, and in non visual arts (literature, poetry) with his research on games, didactic method, movement, tactile learning, kinesthetic learning, and creativity.|bruno_munari.jpeg
10000004|Ingrid Fetell Lee|Ingrid Fetell Lee is a designer and author whose groundbreaking work reveals the hidden influence of our surroundings on our emotions and wellbeing. As a former design director at IDEO, author of Joyful: The Surprising Power of Ordinary Things to Create Extraordinary Happiness, and the founder of the website The Aesthetics of Joy, she empowers people to find more joy in life and work through design. Her immensely popular TED talk “Where Joy Hides and How to Find it” has been viewed more than 17 million times.|ingrid_fetell_lee.jpeg
10000005|Namwali Serpell|"Carla Namwali Serpell is a Zambian writer who teaches in the United States. She was also educated here, coming with her family when she was nine. Her short story ""The Sack"" won the 2015 Caine Prize for African fiction in English. In April 2014 she was named on the Hay Festival's Africa39 list of 39 Sub-Saharan African writers aged under 40 with the potential and talent to define trends in African literature."|namwali_serpell.jpeg
10000006|Ernest Cline|Ernest Cline is an American novelist, slam poet, and screenwriter. He is known for his novels Ready Player One and Armada; he also co-wrote the screenplay for the film adaptation of Ready Player One, directed by Steven Spielberg.|ernest_cline.jpeg
10000007|Neil Gaiman|Neil Gaiman s an English author of short fiction, novels, comic books, graphic novels, audio theatre, and films. His works include the comic book series The Sandmanand novels Stardust, American Gods, Coraline, and The Graveyard Book. He has won numerous awards, including the Hugo, Nebula, and Bram Stoker awards, as well as the Newbery and Carnegie medals.|neil_gaiman.jpeg
10000008|Helen Oyeyemi|"Helen Olajumoke Oyeyemi is a British novelist and writer of short stories. Since 2014 her home has been in Prague. Her novel White Is For Witching was a 2009 Shirley Jackson Award finalist and won a 2010 Somerset Maugham Award. In 2009 Oyeyemi was recognized as one of the women on Venus Zine's ""25 under 25"" list. In 2013 she was included in the Granta Best of Young British Novelists list. Boy, Snow, Bird was a finalist for the Los Angeles Times Book Prize in 2014. What Is Not Yours Is Not Yours won the PEN Open Book Award: for an exceptional book-length work of literature by an author of color published in 2016."|helen_oyeyemi.jpeg
10000009|Naomi Alderman|Naomi Alderman is an English novelist and game writer. Her novel, The Power, won the Baileys Women's Prize for Fiction in 2017.|naomi_alderman.jpeg
10000010|JD Salinger|Jerome David Salinger was an American writer known for his widely read novel, The Catcher in the Rye. Following his early success publishing short stories and The Catcher in the Rye, Salinger led a very private life for more than a half-century. He published his final work in 1965, and gave his last interview in 1980.|jd_salinger.jpeg
10000011|Lorna Landvik|"Lorna Landvik is the author of ten novels, including the best-selling PATTY JANE'S HOUSE OF CURL, ANGRY HOUSEWIVES EATING BON BONS, OH MY STARS and the recently published BEST TO LAUGH. 
Landvik's checkered (but legal) past includes working as a chambermaid in Bavaria, winning a trip to Tahiti as a contestant on '$25,000 Pyramid' (MacGyver was her partner), temping at the Playboy Mansion (it was strictly a clerical position) and walking across the country as a member of The Great Peace March. "|lorna_landvik.jpeg
10000012|John Steinbeck|"John Steinbeck was an American author. He won the 1962 Nobel Prize in Literature ""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception."" He has been called ""a giant of American letters,"" and many of his works are considered classics of Western literature.
During his writing career, he authored 27 books, including 16 novels, six non-fiction books, and two collections of short stories. He is widely known for the comic novels Tortilla Flat (1935) and Cannery Row (1945), the multi-generation epic East of Eden (1952), and the novellas Of Mice and Men (1937) and The Red Pony (1937). The Pulitzer Prize-winning The Grapes of Wrath (1939) is considered Steinbeck's masterpiece and part of the American literary canon. In the first 75 years after it was published, it sold 14 million copies."|john_steinbeck.jpeg
10000013|Susan Conley|Susan Conley is the author of four books including the forthcoming novel Elsey Come Home. Her memoir The Foremost Good Fortune, was an Oprah Magazine Top Ten Pick, an Entertainment Weekly Memoir to Read, and the winner of the Maine Literary Award for Memoir. Her novel Paris Was the Place was a People Magazine Top Pick, a SlateMagazine Summer Read, and an ElleMagazine Readers Prize Selection.|susan_conley.jpeg
10000014|Sylvia Plath|Sylvia Plath was an American poet, novelist, and short-story writer. Born in Boston, Massachusetts, she studied at Smith College and Newnham College at the University of Cambridge before receiving acclaim as a poet and writer. She married fellow poet Ted Hughes in 1956, and they lived together in the United States and then in England. They had two children, Frieda and Nicholas, before separating in 1962.|sylvia_plath.jpeg
10000015|Alex Michaelides|Born in Cyprus to a Greek-Cypriot father and English mother, I studied English literature at Cambridge University and got my MA in screenwriting at the American Film Institute in Los Angeles. I wrote the film The Devil You Know (2013) starring Rosamund Pike and co-wrote The Con is On (2018), starring Uma Thurman, Tim Roth, Parker Posey and Sofia Vergara. THE SILENT PATIENT is my first nove|alex_michaelides.jpeg
10000016|William L. Myers Jr.|Born in 1958 into a blue-collar family, Mr. Myers inherited a work-ethic that propelled him through college and into the Ivy League at The University of Pennsylvania School of Law. From there, Mr. Myers started his legal career in a Philadelphia-based mega defense firm. After ten years defending corporate America, he realized his heart wasn’t in it. So, with his career on the fast track to success--he gave it all up and started his own firm. It was time to start fighting for the common guy.|william_l_myers_jr.jpeg
10000017|Peter Heller|Peter Heller is a longtime contributor to NPR, and a former contributing editor at Outside Magazine, Men’s Journal, and National Geographic Adventure. He is an award winning adventure writer and the author of four books of literary nonfiction. He lives in Denver.|peter_heller.jpeg
10000018|Lauren Wilkinson|Lauren Wilkinson earned an MFA in fiction and literary translation from Columbia University, and has taught writing at Columbia and the Fashion Institute of Technology. She was a 2013 Center for Fiction Emerging Writer’s Fellow, and has received support from both the MacDowell Colony and the Djerassi Resident Artists Program.|lauren_wilkinson.jpeg
10000019|Gillian Flynn|Gillian Flynn is an American writer. Flynn has published three novels, Sharp Objects, Dark Places, and Gone Girl, all three of which have been adapted for film or television. Flynn wrote the adaptations for the 2014 Gone Girl film and the HBO limited series Sharp Objects. She was formerly a television critic for Entertainment Weekly.|gillian_flynn.jpeg
10000020|Karen White|Karen White is a New York Times bestselling American author of more than twenty-five novels. On Folly Beach, published in May 2010, was a NYT bestseller. Most of White's novels are based in the low-country of the southeastern United States. White currently has 26 novels published with the latest book, Dreams of Falling in June 2018.|karen_white.jpeg
10000021|Beatriz Williams|Beatriz Williams is the New York Times, USA Today, and internationally bestselling author of The Summer Wives, The Secret Life of Violet Grant, A Hundred Summers, A Certain Age, and several other works of historical fiction.|beatriz_williams.jpeg
10000022|Lauren Willig|"Lauren Willig is a New York Times bestselling author of historical novels. She is best known for her ""Pink Carnation"" series, which follows a collection of Napoleonic-Era British spies, similar to the Scarlet Pimpernel, as they fight for Britain and fall in love."|lauren_willig.jpeg
10000023|Becky Albertalli|"Rebecca ""Becky"" Albertalli is an American author of young adult fiction, best known for Simon vs. the Homo Sapiens Agenda, which was adapted into the 2018 movie Love, Simon. A sequel to Simon vs. the Homo Sapiens Agenda, titled Leah on the Offbeat was released in 2018 and won the Goodreads Choice Award for Best Young Adult Fiction."|becky_albertalli.jpeg
10000024|Adam Silvera|Adam Silvera is a New York Times Bestselling author of young adult fiction, best known for his novels They Both Die at the End, What If It's Us, and More Happy Than Not. Silvera started writing when he was around 10 or 11, initially working on fan fiction. Silvera has worked as a barista, bookseller, and reviewer for Shelf Awareness before becoming a published writer. |adam_silvera.jpeg
10000025|Cassandra Clare|Judith Lewis, better known by her pen name Cassandra Clare, is an American author of young adult fiction, best known for her bestselling series The Mortal Instruments. In 2004, Clare started working on her first-published novel, City of Bones, inspired by the urban landscape of Manhattan, and released by Simon & Schuster in 2007.|cassandra_clare.jpeg
10000026|Sarah Rees Brennan|Sarah Rees Brennan is the author of the Demon’s Lexicon trilogy and the co-author, with Justine Larbalestier, of Team Human, and the Lynburn Legacy series which begins with Unspoken, a romantic Gothic mystery about a girl named Kami Glass, who discovers her imaginary friend is a real boy.|sarah_brennan.jpeg
10000027|Maureen Johnson|Maureen Johnson is an American author of young adult fiction. She has published thirteen young adult novels to date, including such series as the Truly Devious novels, the Shades of London series, and Suite Scarlett. Johnson's work has also appeared in numerous written anthologies, and comprises notable collaborative works with her contemporaries.|maureen_johnson.jpeg
10000028|Robin Wasserman|Robin Wasserman is an American young adult novelist. Wasserman grew up outside of Philadelphia and graduated from Harvard University and UCLA. Before she was an author she was an associate editor at a children's book publisher. She is currently living in Brooklyn, New York.|robin_wasserman.jpeg
10000029|Stefanie Posavec|Stefanie Posavec is a London-based information designer whose work focuses on non-traditional representations of data, born in 1981. She co-authored the 2016 book Dear Data with Giorgia Lupi.|stefanie_posavec.jpeg
10000030|Terry Pratchett|Sir Terence David John Pratchett OBE was an English author of fantasy novels, especially comical works. He is best known for his Discworld series of 41 novels. Pratchett's first novel, The Carpet People, was published in 1971.|terry_pratchett.jpeg
